ALDER;KØN;TID;INDHOLD
0;M;2018;31624
0;K;2018;30107
1;M;2018;32226
1;K;2018;30282
2;M;2018;30524
2;K;2018;28999
3;M;2018;30231
3;K;2018;28600
4;M;2018;29754
4;K;2018;28451
5;M;2018;31183
5;K;2018;29295
6;M;2018;31402
6;K;2018;30303
7;M;2018;33940
7;K;2018;32296
8;M;2018;33872
8;K;2018;31999
9;M;2018;35294
9;K;2018;33097
10;M;2018;34533
10;K;2018;32820
11;M;2018;35009
11;K;2018;33146
12;M;2018;34244
12;K;2018;32925
13;M;2018;34391
13;K;2018;32876
14;M;2018;34394
14;K;2018;32753
15;M;2018;34265
15;K;2018;32349
16;M;2018;34837
16;K;2018;33364
17;M;2018;35837
17;K;2018;34278
18;M;2018;35665
18;K;2018;34116
19;M;2018;36675
19;K;2018;34594
20;M;2018;38176
20;K;2018;36409
21;M;2018;38974
21;K;2018;37320
22;M;2018;40766
22;K;2018;38954
23;M;2018;41381
23;K;2018;39917
24;M;2018;40642
24;K;2018;39033
25;M;2018;41297
25;K;2018;39476
26;M;2018;39685
26;K;2018;38400
27;M;2018;39988
27;K;2018;38250
28;M;2018;38737
28;K;2018;37212
29;M;2018;37639
29;K;2018;36093
30;M;2018;36313
30;K;2018;34434
31;M;2018;35720
31;K;2018;33879
32;M;2018;34477
32;K;2018;33446
33;M;2018;33344
33;K;2018;32033
34;M;2018;32373
34;K;2018;31638
35;M;2018;33208
35;K;2018;32061
36;M;2018;32657
36;K;2018;32185
37;M;2018;34281
37;K;2018;34016
38;M;2018;34909
38;K;2018;34502
39;M;2018;35800
39;K;2018;35389
40;M;2018;35395
40;K;2018;35185
41;M;2018;36982
41;K;2018;36340
42;M;2018;39430
42;K;2018;39649
43;M;2018;38935
43;K;2018;38881
44;M;2018;38777
44;K;2018;38681
45;M;2018;40415
45;K;2018;40445
46;M;2018;40222
46;K;2018;39442
47;M;2018;38291
47;K;2018;38038
48;M;2018;38293
48;K;2018;37502
49;M;2018;39705
49;K;2018;38736
50;M;2018;42104
50;K;2018;41432
51;M;2018;45140
51;K;2018;44208
52;M;2018;43458
52;K;2018;42823
53;M;2018;42473
53;K;2018;41442
54;M;2018;41188
54;K;2018;40743
55;M;2018;38673
55;K;2018;38407
56;M;2018;37343
56;K;2018;37273
57;M;2018;37267
57;K;2018;37024
58;M;2018;35279
58;K;2018;35508
59;M;2018;35292
59;K;2018;35547
60;M;2018;34759
60;K;2018;35051
61;M;2018;34641
61;K;2018;35192
62;M;2018;33997
62;K;2018;34390
63;M;2018;32641
63;K;2018;33866
64;M;2018;33043
64;K;2018;34015
65;M;2018;32027
65;K;2018;33161
66;M;2018;31310
66;K;2018;32261
67;M;2018;31509
67;K;2018;33332
68;M;2018;30873
68;K;2018;32847
69;M;2018;32304
69;K;2018;34004
70;M;2018;33731
70;K;2018;35736
71;M;2018;34378
71;K;2018;36067
72;M;2018;32307
72;K;2018;34318
73;M;2018;29580
73;K;2018;32222
74;M;2018;26334
74;K;2018;29420
75;M;2018;24196
75;K;2018;26969
76;M;2018;20673
76;K;2018;23571
77;M;2018;19249
77;K;2018;22469
78;M;2018;17595
78;K;2018;20708
79;M;2018;16456
79;K;2018;19762
80;M;2018;14778
80;K;2018;18632
81;M;2018;13194
81;K;2018;16846
82;M;2018;11594
82;K;2018;15221
83;M;2018;10195
83;K;2018;14029
84;M;2018;8885
84;K;2018;12552
85;M;2018;7634
85;K;2018;11558
86;M;2018;6670
86;K;2018;10357
87;M;2018;5658
87;K;2018;9385
88;M;2018;4841
88;K;2018;8318
89;M;2018;4100
89;K;2018;7607
90;M;2018;3195
90;K;2018;6568
91;M;2018;2620
91;K;2018;5781
92;M;2018;1956
92;K;2018;4817
93;M;2018;1474
93;K;2018;3997
94;M;2018;1035
94;K;2018;3148
95;M;2018;690
95;K;2018;2241
96;M;2018;549
96;K;2018;1876
97;M;2018;359
97;K;2018;1402
98;M;2018;221
98;K;2018;896
99;M;2018;139
99;K;2018;583
100;M;2018;57
100;K;2018;375
101;M;2018;51
101;K;2018;256
102;M;2018;16
102;K;2018;142
103;M;2018;12
103;K;2018;76
104;M;2018;11
104;K;2018;42
105;M;2018;6
105;K;2018;31
106;M;2018;1
106;K;2018;4
107;M;2018;0
107;K;2018;9
108;M;2018;0
108;K;2018;2
109;M;2018;0
109;K;2018;2
110;M;2018;0
110;K;2018;0
111;M;2018;0
111;K;2018;0
112;M;2018;0
112;K;2018;0
113;M;2018;0
113;K;2018;0
114;M;2018;0
114;K;2018;0
115;M;2018;0
115;K;2018;0
116;M;2018;0
116;K;2018;0
117;M;2018;0
117;K;2018;0
118;M;2018;0
118;K;2018;0
119;M;2018;0
119;K;2018;0
120;M;2018;0
120;K;2018;0
121;M;2018;0
121;K;2018;0
122;M;2018;0
122;K;2018;0
123;M;2018;0
