ALDER;KØN;TID;INDHOLD
0;M;2021;31587
0;K;2021;29993
1;M;2021;31808
1;K;2021;29934
2;M;2021;31969
2;K;2021;30107
3;M;2021;31875
3;K;2021;30337
4;M;2021;32341
4;K;2021;30396
5;M;2021;30614
5;K;2021;29118
6;M;2021;30336
6;K;2021;28732
7;M;2021;29898
7;K;2021;28580
8;M;2021;31355
8;K;2021;29467
9;M;2021;31588
9;K;2021;30468
10;M;2021;34180
10;K;2021;32449
11;M;2021;34103
11;K;2021;32251
12;M;2021;35449
12;K;2021;33315
13;M;2021;34732
13;K;2021;33068
14;M;2021;35274
14;K;2021;33398
15;M;2021;34563
15;K;2021;33259
16;M;2021;34873
16;K;2021;33373
17;M;2021;34819
17;K;2021;33267
18;M;2021;34736
18;K;2021;32929
19;M;2021;35653
19;K;2021;34155
20;M;2021;37291
20;K;2021;35914
21;M;2021;37484
21;K;2021;36191
22;M;2021;38329
22;K;2021;36728
23;M;2021;39620
23;K;2021;38056
24;M;2021;40174
24;K;2021;38754
25;M;2021;41818
25;K;2021;40107
26;M;2021;42105
26;K;2021;40628
27;M;2021;41105
27;K;2021;39378
28;M;2021;41658
28;K;2021;39683
29;M;2021;39989
29;K;2021;38637
30;M;2021;40091
30;K;2021;38422
31;M;2021;38803
31;K;2021;37356
32;M;2021;37723
32;K;2021;36039
33;M;2021;36186
33;K;2021;34475
34;M;2021;35577
34;K;2021;34043
35;M;2021;34427
35;K;2021;33588
36;M;2021;33300
36;K;2021;32190
37;M;2021;32338
37;K;2021;31734
38;M;2021;33205
38;K;2021;32220
39;M;2021;32645
39;K;2021;32301
40;M;2021;34310
40;K;2021;34152
41;M;2021;34928
41;K;2021;34654
42;M;2021;35761
42;K;2021;35583
43;M;2021;35404
43;K;2021;35356
44;M;2021;36886
44;K;2021;36505
45;M;2021;39369
45;K;2021;39768
46;M;2021;38891
46;K;2021;39000
47;M;2021;38644
47;K;2021;38772
48;M;2021;40224
48;K;2021;40477
49;M;2021;40021
49;K;2021;39493
50;M;2021;38049
50;K;2021;38037
51;M;2021;38042
51;K;2021;37499
52;M;2021;39437
52;K;2021;38686
53;M;2021;41779
53;K;2021;41301
54;M;2021;44706
54;K;2021;43996
55;M;2021;42993
55;K;2021;42596
56;M;2021;41964
56;K;2021;41219
57;M;2021;40615
57;K;2021;40376
58;M;2021;38065
58;K;2021;38065
59;M;2021;36666
59;K;2021;36913
60;M;2021;36435
60;K;2021;36574
61;M;2021;34470
61;K;2021;35046
62;M;2021;34388
62;K;2021;34992
63;M;2021;33806
63;K;2021;34465
64;M;2021;33529
64;K;2021;34515
65;M;2021;32746
65;K;2021;33655
66;M;2021;31399
66;K;2021;33101
67;M;2021;31669
67;K;2021;33147
68;M;2021;30549
68;K;2021;32188
69;M;2021;29766
69;K;2021;31229
70;M;2021;29824
70;K;2021;32270
71;M;2021;29092
71;K;2021;31725
72;M;2021;30339
72;K;2021;32753
73;M;2021;31509
73;K;2021;34189
74;M;2021;31975
