SEXE;AGE;POP;ANNEE
M;0;399548;2019
M;1;395294;2019
M;2;401225;2019
M;3;399805;2019
M;4;407266;2019
M;5;403181;2019
M;6;397941;2019
M;7;392061;2019
M;8;419174;2019
M;9;423513;2019
M;10;424202;2019
M;11;401734;2019
M;12;392733;2019
M;13;396889;2019
M;14;386863;2019
M;15;400819;2019
M;16;429139;2019
M;17;457558;2019
M;18;468222;2019
M;19;466347;2019
M;20;453454;2019
M;21;445676;2019
M;22;436161;2019
M;23;434134;2019
M;24;442827;2019
M;25;445139;2019
M;26;450981;2019
M;27;448003;2019
M;28;435517;2019
M;29;441899;2019
M;30;442308;2019
M;31;443694;2019
M;32;434449;2019
M;33;436749;2019
M;34;435003;2019
M;35;434809;2019
M;36;436802;2019
M;37;431898;2019
M;38;442201;2019
M;39;436256;2019
M;40;457176;2019
M;41;452902;2019
M;42;455594;2019
M;43;449148;2019
M;44;427667;2019
M;45;327131;2019
M;46;321500;2019
M;47;315721;2019
M;48;296043;2019
M;49;266098;2019
M;50;280079;2019
M;51;294831;2019
M;52;292581;2019
M;53;290944;2019
M;54;295103;2019
M;55;291232;2019
M;56;298547;2019
M;57;291686;2019
M;58;301482;2019
M;59;296379;2019
M;60;299038;2019
M;61;282094;2019
M;62;278744;2019
M;63;268579;2019
M;64;265272;2019
M;65;258470;2019
M;66;246078;2019
M;67;242040;2019
M;68;236154;2019
M;69;237588;2019
M;70;236231;2019
M;71;138673;2019
M;72;116604;2019
M;73;98897;2019
M;74;88944;2019
M;75;105730;2019
M;76;146778;2019
M;77;140736;2019
M;78;132190;2019
M;79;113954;2019
M;80;108184;2019
M;81;95580;2019
M;82;85956;2019
M;83;72625;2019
M;84;63358;2019
M;85;53844;2019
M;86;44193;2019
M;87;36490;2019
M;88;30210;2019
M;89;23366;2019
M;90;16858;2019
M;91;12422;2019
M;92;8661;2019
M;93;6091;2019
M;94;4158;2019
M;95;2325;2019
M;96;1661;2019
M;97;1099;2019
M;98;622;2019
M;99;490;2019
M;100 ou +;467;2019
F;0;379319;2019
F;1;379358;2019
F;2;383016;2019
F;3;383078;2019
F;4;388872;2019
F;5;384960;2019
F;6;380851;2019
F;7;374714;2019
F;8;399559;2019
F;9;403771;2019
F;10;405111;2019
F;11;382943;2019
F;12;374913;2019
F;13;378061;2019
F;14;368949;2019
F;15;382468;2019
F;16;408833;2019
F;17;438189;2019
F;18;449518;2019
F;19;452386;2019
F;20;441020;2019
F;21;437543;2019
F;22;430969;2019
F;23;429191;2019
F;24;441051;2019
F;25;443183;2019
F;26;451801;2019
F;27;449569;2019
F;28;437583;2019
F;29;444212;2019
F;30;443496;2019
F;31;445807;2019
F;32;438112;2019
F;33;440739;2019
F;34;439475;2019
F;35;439183;2019
F;36;439265;2019
F;37;432395;2019
F;38;440244;2019
F;39;433152;2019
F;40;449983;2019
F;41;444995;2019
F;42;443353;2019
F;43;436516;2019
F;44;417111;2019
F;45;318519;2019
F;46;314835;2019
F;47;307991;2019
F;48;287651;2019
F;49;260317;2019
F;50;275952;2019
F;51;296266;2019
F;52;294763;2019
F;53;296040;2019
F;54;301638;2019
F;55;301516;2019
F;56;311926;2019
F;57;308005;2019
F;58;321485;2019
F;59;320505;2019
F;60;326562;2019
F;61;311676;2019
F;62;312848;2019
F;63;306551;2019
F;64;308596;2019
F;65;307530;2019
F;66;299562;2019
F;67;298001;2019
F;68;297055;2019
F;69;303060;2019
F;70;303387;2019
F;71;182581;2019
F;72;158661;2019
F;73;138459;2019
F;74;128244;2019
F;75;156086;2019
F;76;227564;2019
F;77;221046;2019
F;78;215971;2019
F;79;193916;2019
F;80;192123;2019
F;81;178768;2019
F;82;167417;2019
F;83;149405;2019
F;84;137027;2019
F;85;121622;2019
F;86;107693;2019
F;87;93362;2019
F;88;81448;2019
F;89;68572;2019
F;90;52506;2019
F;91;41044;2019
F;92;31210;2019
F;93;24017;2019
F;94;18095;2019
F;95;12609;2019
F;96;8904;2019
F;97;6250;2019
F;98;3725;2019
F;99;2566;2019
F;100 ou +;3418;2019
M;0;397292;2020
M;1;395897;2020
M;2;397680;2020
M;3;401144;2020
M;4;401616;2020
M;5;408366;2020
M;6;403859;2020
M;7;398632;2020
M;8;393086;2020
M;9;419978;2020
M;10;423648;2020
M;11;424585;2020
M;12;403271;2020
M;13;393616;2020
M;14;398392;2020
M;15;388090;2020
M;16;401345;2020
M;17;429370;2020
M;18;455141;2020
M;19;463620;2020
M;20;461204;2020
M;21;448374;2020
M;22;440493;2020
M;23;432324;2020
M;24;431403;2020
M;25;441264;2020
M;26;445467;2020
M;27;452562;2020
M;28;448867;2020
M;29;437859;2020
M;30;442959;2020
M;31;443703;2020
M;32;444309;2020
M;33;434915;2020
M;34;437283;2020
M;35;435452;2020
M;36;434809;2020
M;37;436653;2020
M;38;431486;2020
M;39;442109;2020
M;40;435329;2020
M;41;455890;2020
M;42;451500;2020
M;43;453993;2020
M;44;447777;2020
M;45;425556;2020
M;46;325387;2020
M;47;320480;2020
M;48;313972;2020
M;49;294748;2020
M;50;264728;2020
M;51;278253;2020
M;52;293075;2020
M;53;290514;2020
M;54;288788;2020
M;55;292413;2020
M;56;288404;2020
M;57;295411;2020
M;58;288347;2020
M;59;297934;2020
M;60;291949;2020
M;61;294595;2020
M;62;277386;2020
M;63;273503;2020
